               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11824,            0.034769,            0.059543,           0.0041061,             0.61908,            0.007401,           0.0017324,            0.097808,            0.022688,            0.056764,              0.0946,              0.0006,              0.0006
                   1,            0.084744,            0.038312,            0.053913,             0.27232,             0.29263,             0.15452,            0.059754,            0.071229,             0.01834,             0.05537,            0.088297,           0.0012974,           0.0012974
                   2,             0.07258,            0.030229,            0.050987,             0.12526,             0.48926,              0.1483,            0.063046,            0.073364,            0.018727,            0.055654,            0.081992,           0.0019921,           0.0019921
                   3,            0.065224,            0.029944,            0.047906,            0.080244,             0.51263,            0.088727,            0.031782,            0.068235,            0.024058,            0.053782,            0.075684,            0.002684,            0.002684
                   4,             0.06015,            0.025826,            0.047552,            0.076434,             0.45306,             0.16047,            0.081653,            0.062403,            0.020609,            0.052187,            0.069373,           0.0033731,           0.0033731
                   5,            0.056084,            0.023495,            0.046173,             0.10838,             0.54494,             0.19646,            0.070864,            0.067216,            0.018685,            0.054567,            0.063059,           0.0040594,           0.0040594
                   6,            0.053651,            0.021914,            0.045063,             0.15795,             0.55499,             0.25787,             0.12117,            0.065456,            0.016004,            0.050861,            0.056743,            0.004743,            0.004743
                   7,            0.052556,            0.020055,             0.04139,             0.21205,             0.47009,             0.33882,             0.14369,            0.059441,            0.010128,            0.042867,            0.050424,           0.0054238,           0.0054238
                   8,            0.050421,            0.018996,            0.038615,             0.30353,             0.51045,             0.45508,             0.22179,            0.051089,           0.0088918,            0.042245,            0.044102,           0.0061018,           0.0061018
                   9,            0.047268,            0.017866,            0.034032,             0.24978,             0.43313,             0.33843,              0.2048,            0.052958,           0.0078375,            0.040025,            0.037777,            0.006777,            0.006777
                  10,            0.046455,             0.01806,            0.030492,             0.21738,             0.50921,             0.29204,             0.16145,            0.056333,           0.0079056,            0.047581,             0.03145,           0.0074495,           0.0074495
                  11,            0.047437,            0.017768,            0.027599,             0.47039,             0.39751,             0.32572,             0.17486,            0.055131,            0.011626,            0.044216,            0.025119,           0.0081192,           0.0081192
                  12,            0.049653,             0.01783,            0.023845,             0.47231,             0.60003,             0.50968,              0.2591,            0.055306,           0.0086549,            0.034157,            0.018786,           0.0087862,           0.0087862
